Picture,Time,naturalSlider,painSlider,phantomSlider,motorSlider,tempSlider,maintactileSlider,Vibration,Twitching,Intention to Make Movement,Touch,Squeezing,Puncture,Prickling,Electric Current,Hit,Pulsation,Tickling,Itching,Tingling,Numbness,Muscle contraction,Was Felt
0,22:20:49,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,22:21:58,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,22:23:39,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,22:24:20,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4,22:25:25,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,22:26:15,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
6,22:26:49,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,22:27:55,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,22:29:46,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,22:32:26,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10,22:33:36,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,22:34:23,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12,22:35:01,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
13,22:35:47,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,22:36:36,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,22:37:58,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,22:38:33,0.0,0.0,0.0,5,0.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
